annotator,valid_sentences,flagged,pct_flagged,RB,LEB,M,NB,labels
1,57,9,15.8,4,7,1,48,60
2,56,41,73.2,17,19,13,15,64
3,53,52,98.1,15,35,20,1,71
4,57,17,29.8,9,10,3,40,62
5,56,56,100.0,49,37,20,0,106
6,57,40,70.2,17,26,3,17,63
7,56,28,50.0,15,12,1,28,56
8,56,50,89.3,43,49,24,6,122
9,57,16,28.1,5,4,8,41,58
10,55,41,74.5,12,17,15,14,58
11,54,42,77.8,14,17,14,12,57
12,57,23,40.4,13,8,5,34,60
13,56,37,66.1,26,22,4,19,71
14,57,11,19.3,1,10,2,46,59
15,57,31,54.4,20,11,5,26,62
16,57,42,73.7,35,27,0,15,77
17,57,30,52.6,19,22,0,27,68
18,57,33,57.9,20,16,12,24,72
19,57,21,36.8,12,11,1,36,60
20,57,25,43.9,7,7,13,32,59
21,57,12,21.1,1,11,0,45,57
22,54,25,46.3,11,13,6,29,59
23,56,46,82.1,15,22,13,10,60
24,57,22,38.6,12,13,4,35,64
25,57,17,29.8,13,2,2,40,57
26,55,55,100.0,49,50,15,0,114
27,57,4,7.0,1,2,1,53,57
28,57,9,15.8,3,6,0,48,57
29,57,49,86.0,34,44,17,8,103
30,57,29,50.9,22,14,3,28,67
